title,smdName,organizationName,sourceType,sourceUrl,icarUrl,keywords,language
"चना की उन्नत प्रजाति : RVG 203 (Improved Variety of Chickpea: RVSKVV, Gwalior)",Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=FPJocbLGrds,https://krishi.icar.gov.in/video/watch/3842,"Chick Pea, Pulses, Variety",Hindi
"चना की उन्नत प्रजाति : RVG 201 (Improved Variety of Chikpea: RVSKVV, Gwalior)",Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=3FRCzOlk7F0,https://krishi.icar.gov.in/video/watch/3841,"Chick Pea, Pulses, Variety",Hindi
"चना की उन्नत प्रजाति : RVG 202 (Improved Variety of Chickpea: RVSKVV, Gwalior)",Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=IAdZWcpKmQc,https://krishi.icar.gov.in/video/watch/3840,"Chickpea, Pulses, Variety",Hindi
"मूंग की उन्नत प्रजाति : IPM 312-20 (वसुधा) (Improved Variety of Mungbean, Greengram: Vasudha)",Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=z3QnpRCNlwQ,https://krishi.icar.gov.in/video/watch/3839,"Mung, Greengram, Pulses, Variety",Hindi
"मूंग की उन्नत प्रजाति : IPM 2-3 (Improved Variety of Greengram, Mungbean)",Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=iOjVsjnjS8s,https://krishi.icar.gov.in/video/watch/3838,"Mung, Greengram, Pulses, Variety",Hindi
"चना की उन्नत प्रजाति : Pusa Chickpea 10216 9Improved Variety of Chieckpea: IARI,, New Delhi)",Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=kYSGVNR5Zig,https://krishi.icar.gov.in/video/watch/3837,"Chickpea, Pulses, Variety",Hindi
"चना की उन्नत प्रजाति : PUSA 3022 (Improved Variety of Chickpea: IARI, New Delhi)",Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=sJwNCK2Hfag,https://krishi.icar.gov.in/video/watch/3836,"Chickpea, Pulses, Variety, kabuli Chana",Hindi
"चना की उन्नत प्रजाति :Phule Vikram (Improved Variety of Chickpea: MPKV, Rahuri)",Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=bLeHxzP-Tso,https://krishi.icar.gov.in/video/watch/3835,"Chickpea, Pulses, Variety",Hindi
"चना की उन्नत प्रजाति : PKC 2 (Improved Variety of Chickpea : GBPUAT, Pantnagar) PG 71",Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=T9fSmjj6HK8,https://krishi.icar.gov.in/video/watch/3834,"Chick Pea, Pulses, Variety, Kabuli Chana",Hindi
"चना की उन्नत प्रजाति : PKC 1 (Improved Variety of Chickpea : GBPUAT, Pantnagar)",Crop Science,ICAR-Indian Institute of Pulses Research,youtube,https://www.youtube.com/watch?v=zyvUfPEas-Y,https://krishi.icar.gov.in/video/watch/3833,"Chickpea, Pulses, Variety",Hindi
